0,1 bathroom,2 bedrooms,"Linthorpe Road, Kamloops V2B 7S3 BC",1525.00
1,2 bathrooms,3 bedrooms,"Merritt, BC V1K0B2, Canada",Please Contact
2,2 bathrooms,3 bedrooms,", Kamloops V2B 3T9 BC",1800.00
3,2 bathrooms,4 bedrooms,"Ave NE, Salmon Arm, BC V1E 3G4, Canada",2800.00
4,1 bathroom,2 bedrooms,"Kamloops, BC V2B 3K5, Canada",950.00
5,1 bathroom,3 bedrooms,"Airfield Rd, Barrière, BC V0E 1E0, Canada",1800.00
6,1 bathroom,1 bedroom,"992 Columbia St, Kamloops, BC V2C 2V9, Canada",1200.00
7,No,1.5 bathrooms,"V1K 1A5, Canada",Please Contact
8,1 bathroom,2 bedrooms,"2082 Westsyde Rd, Kamloops, BC V2B 7C2, Canada",1050.00
9,1 bathroom,1 bedroom,"2215 Doubletree Crescent, Kamloops, BC V2B 6E6, Canada",1100.00
10,4 bathrooms,6 or more bedrooms,"1924 Gloaming Dr, Kamloops, BC V1S 1R2, Canada",2300.00
11,1 bathroom,2 bedrooms,", Prince George V2N5X9 BC, Canada",Please Contact
12,1 bathroom,2 bedrooms,"1657 Selwyn Rd, Kamloops, BC V2E 1P1, Canada",1400.00
13,1 bathroom,2 bedrooms,"1605 Summit Dr, Kamloops, BC V2E 2A5, Canada",1200.00
14,1 bathroom,2 bedrooms,"1325 Nanaimo St, Kamloops, BC V2B 2W2, Canada",1400.00
15,1.5 bathrooms,4 bedrooms,", Kamloops  V2C 3R7 BC, Canada",Please Contact
16,2.5 bathrooms,3 bedrooms,", Kamloops V2B 0A9 BC",2100.00
17,1 bathroom,2 bedrooms,"v2b 1c4, Canada",1600.00
18,1 bathroom,2 bedrooms,"386 Waddington Dr, Kamloops, BC V2E 1M5, Canada",1400.00
19,2 bathrooms,4 bedrooms,"206 Hollyburn Dr, Kamloops, BC V2E 1W5, Canada",2300.00
20,2 bathrooms,2 bedrooms,"1970 Braeview Pl, Kamloops, BC V1S 1N5, Canada",1550.00
21,1 bathroom,2 bedrooms,"Linthorpe Road, Kamloops V2B 7S3 BC",1525.00
22,2 bathrooms,3 bedrooms,"Merritt, BC V1K0B2, Canada",Please Contact
23,2 bathrooms,3 bedrooms,", Kamloops V2B 3T9 BC",1800.00
24,2 bathrooms,4 bedrooms,"Ave NE, Salmon Arm, BC V1E 3G4, Canada",2800.00
25,1 bathroom,2 bedrooms,"Kamloops, BC V2B 3K5, Canada",950.00
26,1 bathroom,3 bedrooms,"Airfield Rd, Barrière, BC V0E 1E0, Canada",1800.00
27,1 bathroom,1 bedroom,"992 Columbia St, Kamloops, BC V2C 2V9, Canada",1200.00
28,No,1.5 bathrooms,"V1K 1A5, Canada",Please Contact
29,1 bathroom,2 bedrooms,"2082 Westsyde Rd, Kamloops, BC V2B 7C2, Canada",1050.00
30,1 bathroom,1 bedroom,"2215 Doubletree Crescent, Kamloops, BC V2B 6E6, Canada",1100.00
31,4 bathrooms,6 or more bedrooms,"1924 Gloaming Dr, Kamloops, BC V1S 1R2, Canada",2300.00
32,1 bathroom,2 bedrooms,", Prince George V2N5X9 BC, Canada",Please Contact
33,1 bathroom,2 bedrooms,"1657 Selwyn Rd, Kamloops, BC V2E 1P1, Canada",1400.00
34,1 bathroom,2 bedrooms,"1605 Summit Dr, Kamloops, BC V2E 2A5, Canada",1200.00
35,1 bathroom,2 bedrooms,"1325 Nanaimo St, Kamloops, BC V2B 2W2, Canada",1400.00
36,1.5 bathrooms,4 bedrooms,", Kamloops  V2C 3R7 BC, Canada",Please Contact
37,2.5 bathrooms,3 bedrooms,", Kamloops V2B 0A9 BC",2100.00
38,1 bathroom,2 bedrooms,"v2b 1c4, Canada",1600.00
39,1 bathroom,2 bedrooms,"386 Waddington Dr, Kamloops, BC V2E 1M5, Canada",1400.00
40,2 bathrooms,4 bedrooms,"206 Hollyburn Dr, Kamloops, BC V2E 1W5, Canada",2300.00
41,2 bathrooms,2 bedrooms,"1970 Braeview Pl, Kamloops, BC V1S 1N5, Canada",1550.00
42,1 bathroom,2 bedrooms,"Linthorpe Road, Kamloops V2B 7S3 BC",1525.00
43,2 bathrooms,2 bedrooms,"1970 Braeview Pl, Kamloops, BC V1S 1N5, Canada",1550.00
44,No,1 bathroom,"V2C2T1, Canada",1000.00
45,1 bathroom,1 bedroom,"V2E0C1, Canada",1050.00
46,3 bathrooms,4 bedrooms,"2357 Drummond Court, V1S 1T8, Kamloops, BC",2200.00
47,1 bathroom,3 bedrooms,"910 Columbia St W, Kamloops, BC V2C 2V9, Canada",2000.00
48,1 bathroom,1 bedroom,", V2E2N5, KAMLOOPS, BC, Canada",600.00
49,2 bathrooms,4 bedrooms,"Bowden Rd, Darfield, BC V0E 1R0, Canada",1900.00
50,1 bathroom,2 bedrooms,"285 Leigh Rd, Kamloops, BC V2B 2M3, Canada",1300.00
51,1 bathroom,2 bedrooms,", Kamloops V1S0A4 BC, Canada",1350.00
52,1.5 bathrooms,3 bedrooms,", v2b 4t5, Kamloops, BC, Canada",1450.00
53,1 bathroom,3 bedrooms,"500 Battle St, Kamloops, BC V2C, Canada",1800.00
54,1 bathroom,3 bedrooms,", Kamloops V2C2W6 BC, Canada",1700.00
55,1 bathroom,3 bedrooms,"1221 Howe Rd, Kamloops, BC V1S 1M4, Canada",1800.00
56,1.5 bathrooms,3 bedrooms,", Kamloops V2c 4e3 BC, Canada",Please Contact
57,2.5 bathrooms,3 bedrooms,"Foxtail Dr, Kamloops, BC V1S, Canada",2250.00
58,1 bathroom,3 bedrooms,"Postal Code V2B 6E5, Canada",1550.00
59,1 bathroom,2 bedrooms,", Kamloops V2C 2K1 BC, Canada",Please Contact
60,1 bathroom,3 bedrooms,", Kamloops V2C6S4 BC, Canada",1420.00
61,1 bathroom,2 bedrooms,", V2b2p5, Kamloops, BC",1350.00
62,1 bathroom,1 bedroom,"Kamloops, BC V2C5S3, Canada",1000.00
63,1 bathroom,2 bedrooms,"Linthorpe Road, Kamloops V2B 7S3 BC",1525.00
64,2 bathrooms,3 bedrooms,", Kamloops V1S1X8 BC, Canada",1775.00
65,2 bathrooms,4 bedrooms,", Kamloops  V2c 6n2 BC, Canada",2000.00
66,1 bathroom,1 bedroom,"699 Valdes Dr, Kamloops, BC V2B 5J1, Canada",900.00
67,1 bathroom,1 bedroom,", Kamloops V2C2N3 BC, Canada",775.00
68,1 bathroom,3 bedrooms,", Kamloops v2h1m6 BC, Canada",1400.00
69,1 bathroom,2 bedrooms,"621 Columbia St, Kamloops, BC V2C 2V2, Canada",1150.00
70,No,1 bathroom,", V2C1M2, kamloops, BC",Please Contact
71,1 bathroom,2 bedrooms,"Linthorpe Road, Kamloops V2B 7S3 BC",1525.00
72,1 bathroom,3 bedrooms,", V2C 2W1, Kamloops, BC, Canada",1250.00
73,1 bathroom,2 bedrooms,"kamloops , Canada",Please Contact
74,1 bathroom,2 bedrooms,"1800 Tranquille Rd #1, Kamloops, BC V2B 3L9, Canada",1150.00
75,1 bathroom,3 bedrooms,", V2B1H5, Kamloops, BC",1600.00
76,2 bathrooms,4 bedrooms,"Willow St, Kamloops, BC V2B 4C6, Canada",2000.00
77,1 bathroom,4 bedrooms,", Kamloops V2b5h8 BC, Canada",Please Contact
78,1 bathroom,1 bedroom,", Kamloops v2b1l1 BC, Canada",1000.00
79,1 bathroom,2 bedrooms,"Postal Code V2C5R9, Canada",1300.00
80,1.5 bathrooms,3 bedrooms,", Kamloops V2C 2K4 BC, Canada",1800.00
